№;Дата и время;Секунда;Микросекунда
121;2023-05-12 21:04:12.288763;12;288763
122;2023-05-12 21:04:12.304484;12;304484
123;2023-05-12 21:04:12.320048;12;320048
124;2023-05-12 21:04:12.336147;12;336147
125;2023-05-12 21:04:12.351415;12;351415
126;2023-05-12 21:04:12.367677;12;367677
127;2023-05-12 21:04:12.383457;12;383457
128;2023-05-12 21:04:12.399078;12;399078
129;2023-05-12 21:04:12.414887;12;414887
130;2023-05-12 21:04:12.430179;12;430179
131;2023-05-12 21:04:12.445554;12;445554
132;2023-05-12 21:04:12.461666;12;461666
133;2023-05-12 21:04:12.477772;12;477772
134;2023-05-12 21:04:12.493291;12;493291
135;2023-05-12 21:04:12.509445;12;509445
136;2023-05-12 21:04:12.525547;12;525547
137;2023-05-12 21:04:12.541581;12;541581
138;2023-05-12 21:04:12.557116;12;557116
139;2023-05-12 21:04:12.572444;12;572444
140;2023-05-12 21:04:12.587882;12;587882
141;2023-05-12 21:04:12.603466;12;603466
142;2023-05-12 21:04:12.619337;12;619337
143;2023-05-12 21:04:12.635335;12;635335
144;2023-05-12 21:04:12.651306;12;651306
145;2023-05-12 21:04:12.667085;12;667085
146;2023-05-12 21:04:12.682728;12;682728
147;2023-05-12 21:04:12.698280;12;698280
148;2023-05-12 21:04:12.713725;12;713725
149;2023-05-12 21:04:12.729150;12;729150
150;2023-05-12 21:04:12.744929;12;744929
151;2023-05-12 21:04:12.760118;12;760118
152;2023-05-12 21:04:12.775290;12;775290
153;2023-05-12 21:04:12.790693;12;790693
154;2023-05-12 21:04:12.806619;12;806619
155;2023-05-12 21:04:12.822036;12;822036
156;2023-05-12 21:04:12.838154;12;838154
157;2023-05-12 21:04:12.853493;12;853493
158;2023-05-12 21:04:12.869023;12;869023
159;2023-05-12 21:04:12.884555;12;884555
160;2023-05-12 21:04:12.899743;12;899743
161;2023-05-12 21:04:12.914943;12;914943
162;2023-05-12 21:04:12.930941;12;930941
163;2023-05-12 21:04:12.946945;12;946945
164;2023-05-12 21:04:12.962183;12;962183
165;2023-05-12 21:04:12.977183;12;977183
166;2023-05-12 21:04:12.992634;12;992634
167;2023-05-12 21:04:13.007941;13;7941
168;2023-05-12 21:04:13.023673;13;23673
169;2023-05-12 21:04:13.038965;13;38965
170;2023-05-12 21:04:13.054334;13;54334
171;2023-05-12 21:04:13.070049;13;70049
172;2023-05-12 21:04:13.085345;13;85345
173;2023-05-12 21:04:13.100577;13;100577
174;2023-05-12 21:04:13.116661;13;116661
175;2023-05-12 21:04:13.132742;13;132742
176;2023-05-12 21:04:13.147959;13;147959
177;2023-05-12 21:04:13.163268;13;163268
178;2023-05-12 21:04:13.178727;13;178727
179;2023-05-12 21:04:13.194141;13;194141
180;2023-05-12 21:04:13.209463;13;209463
